name,description,brand,price,compareAtPrice,stock,categoryName,imageUrls,specs,variants
"14"" Laptop Sleeve – Leather","Protect your valuable laptop with this premium 14-inch leather laptop sleeve, now available in Kenya. Crafted with high-quality, durable leather, this sleeve offers reliable protection against scratches, dust, and minor shocks, making it perfect for daily commutes in Nairobi, Mombasa, or Kisumu. The soft, padded inner lining ensures your device stays safe while the smooth zip closure allows for quick and easy access.

Designed for the modern professional and student, this slim and lightweight laptop sleeve is easy to carry on its own or inside a backpack. Its sleek and stylish design makes it the ideal choice for anyone looking for a simple, protective laptop case that blends fashion with function.",Generic,2000.0,2500,15,Laptop Bags & Sleeves,"data/Black pu leather sleeve@2500.jpeg,data/Bage sleeve bag leather@2500.jpeg,data/Brown sleeve leather @2500.jpeg,data/Grey sleeve bag leather@2500.jpeg,data/Blue sleeve leather @2000.jpeg,data/Green sleeve bag leather@2k.jpeg,data/Grey pu leather sleeve bag@2500.jpeg","{""Material"": ""Durable Leather or Premium PU Leather"", ""Fit"": ""Designed for 14-inch Laptops"", ""Protection"": ""Soft inner lining safeguards against scratches and dust"", ""Convenience"": ""Lightweight, slim design""}","[{""id"": ""3c27385c-2282-42df-8f6c-b772e1b0d075"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""451dacc3-d2c9-4ee7-96e7-7cd38b568df8"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""bad75e26-0dc0-4e17-9c34-1134cfedb736"", ""name"": ""Blue"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""6fd4414d-76c5-41a1-bdf1-1d8323fa180d"", ""name"": ""Brown"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""1510f3eb-6da0-4f32-8955-212a458517b3"", ""name"": ""Green"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""f0611e52-0a90-4218-86aa-189f25aeb8a1"", ""name"": ""Grey"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""bf25974c-49e3-4c1e-8b44-4797eaae422c"", ""name"": ""Grey"", ""priceOffset"": 500.0, ""stock"": 5}]"
"15.6"" Laptop Bag – Anti-theft","Safeguard your laptop with the 15.6-inch anti-theft laptop bag, a must-have for Kenyan professionals on the go. This high-quality laptop bag is designed for safe, secure, and convenient carrying. It features a padded laptop compartment, durable zip closure, and comfortable handles, plus anti-theft features to keep your device and accessories safe from pickpockets in busy areas.

Designed for office, school, and travel, this bag offers extra pockets for a charger, mouse, documents, and other essentials. Its durable construction and classic design make it suitable for use in and around major Kenyan cities and beyond.",Generic,4000.0,5000,15,Laptop Bags & Sleeves,"data/Brown biowang antitheft@4000.jpeg,data/Blue biowang antitheft@4k.jpeg,data/Black biowang antitheft @4000.jpeg,data/Reflector biowang antitheft@4k.jpeg,data/Wiersoon antitheft backpack @4500.jpeg","{""Protection"": ""Padded laptop compartment and anti-theft design"", ""Compatibility"": ""Fits 15.6-inch laptops from major brands"", ""Storage"": ""Multiple pockets for charger, mouse, and documents"", ""Use"": ""Ideal for office, school, and travel""}","[{""id"": ""fbf49fad-a638-4c88-90d7-8961e47dff89"", ""name"": ""Black"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""ed7cd8dc-654b-45fe-a175-647546ebe5cd"", ""name"": ""Blue"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""05ba8347-0fef-40c5-a7b1-72182e381a71"", ""name"": ""Brown"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""f2a5b4bb-ddf8-4d37-a0d4-2fa993adea81"", ""name"": ""Black"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""0fe6ae75-7f3f-4eda-8b12-00929e8063d0"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}]"
"15.6"" Laptop Bag – Waterproof, Padded","Shield your device from the elements with this waterproof, padded 15.6-inch laptop bag, ideal for Kenya's unpredictable weather. This durable, high-quality bag provides exceptional protection and organization for your laptop and accessories. It features a thickly padded laptop compartment, durable zip closure, comfortable handles, and a variety of pockets for your charger, mouse, and documents.

This versatile bag is perfectly suited for office use, school, travel, and daily business needs. Its waterproof exterior ensures your laptop stays dry, while the padded interior protects against impacts, making it a top choice for professionals in Kenya.",Generic,2000.0,2500,15,Laptop Bags & Sleeves,"data/Lines laptop backpack @2k.jpeg,data/Dark brown jeep side bag @4500.jpeg,data/U green backpack@4k.jpeg,data/Black nuoxiya 2 way side@4k.jpeg,data/Black business king@3000.jpeg,data/Brown business king@3k.jpeg,data/Huan lv backpack@3500.jpeg,data/Jungle green business king@3k.jpeg,data/Grey haoyu laptop bag@3500.jpeg,data/Black nuoxiya 3 way medium @4k.jpeg,data/Blue haoyu laptop backpack@3500.jpeg,data/Ponasso side bag black@3500.jpeg,data/Black nuoxiya 3 way backpack @5k.jpeg,data/Brown jeep side bag @4500.jpeg,data/Blue nuoxiya 2 way side@4500.jpeg,data/Black haoyu backpack@3500.jpeg,data/printers.jpeg","{""Protection"": ""Waterproof exterior, padded laptop compartment"", ""Compatibility"": ""Fits 15.6-inch laptops"", ""Storage"": ""Multiple pockets and organizers"", ""Use"": ""Office, school, travel, and daily business""}","[{""id"": ""52dcabb1-57a4-423f-8f73-fdf6d8ef9722"", ""name"": ""Black"", ""priceOffset"": 1000.0, ""stock"": 5}, {""id"": ""d89b4795-667c-4e29-8588-8fea5c0869a4"", ""name"": ""Black"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""f06354cd-cefe-4c1e-847b-17ce43bb092c"", ""name"": ""Black"", ""priceOffset"": 2000.0, ""stock"": 5}, {""id"": ""2450ee1d-09f9-4b53-b94c-ac07dfee0793"", ""name"": ""Black"", ""priceOffset"": 3000.0, ""stock"": 5}, {""id"": ""91451773-b24d-4d9c-8c51-b1effb49636a"", ""name"": ""Black"", ""priceOffset"": 2000.0, ""stock"": 5}, {""id"": ""8c67fceb-b9f9-4d97-8d0e-9545a30ebb0b"", ""name"": ""Blue"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""9a0fcb3d-cdd9-4b9e-97f3-b989391038cb"", ""name"": ""Blue"", ""priceOffset"": 2500.0, ""stock"": 5}, {""id"": ""711373bd-1f3e-4fea-8b85-562ecf45f478"", ""name"": ""Brown"", ""priceOffset"": 1000.0, ""stock"": 5}, {""id"": ""de4ce42c-2c55-4b8b-ba92-01e01dd2fee7"", ""name"": ""Brown"", ""priceOffset"": 2500.0, ""stock"": 5}, {""id"": ""3e1c569e-9a65-4aa5-966c-64d38fca7995"", ""name"": ""Brown"", ""priceOffset"": 2500.0, ""stock"": 5}, {""id"": ""d22f1619-044e-49bf-a1b3-c577ad5288f7"", ""name"": ""Grey"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""90b751ea-3ef2-4e79-835d-c754828c4e15"", ""name"": ""Black"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""a7811e6a-8a8e-474c-b21d-8aa9a9d48709"", ""name"": ""Green"", ""priceOffset"": 1000.0, ""stock"": 5}, {""id"": ""6f00f776-daef-4998-8a28-8e1058993928"", ""name"": ""Black"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""f5a6c0a0-0fcd-4315-8926-c0d01b53b320"", ""name"": ""Black"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""cb33a5a9-d2f0-41e0-931a-d7cee73f1be9"", ""name"": ""Black"", ""priceOffset"": 0, ""stock"": 5}, {""id"": ""2eb2dc54-930e-4f39-857c-683eaac9225f"", ""name"": ""Green"", ""priceOffset"": 2000.0, ""stock"": 5}]"
"14"" Laptop Sleeve – Padded, Protective","Protect your valuable laptop with this premium 14-inch leather laptop sleeve, now available in Kenya. Crafted with high-quality, durable leather, this sleeve offers reliable protection against scratches, dust, and minor shocks, making it perfect for daily commutes in Nairobi, Mombasa, or Kisumu. The soft, padded inner lining ensures your device stays safe while the smooth zip closure allows for quick and easy access.

Designed for the modern professional and student, this slim and lightweight laptop sleeve is easy to carry on its own or inside a backpack. Its sleek and stylish design makes it the ideal choice for anyone looking for a simple, protective laptop case that blends fashion with function.",Generic,1500.0,2000,15,Laptop Bags & Sleeves,"data/Pink sleeve bag@1500.jpeg,data/Black sleeve bag with handles@2000.jpeg,data/Grey sleeve bag with handles@2000.jpeg,data/Purple sleeve bag@1500.jpeg","{""Material"": ""Durable Leather or Premium PU Leather"", ""Fit"": ""Designed for 14-inch Laptops"", ""Protection"": ""Soft inner lining safeguards against scratches and dust"", ""Convenience"": ""Lightweight, slim design""}","[{""id"": ""d4e07c30-f704-41dd-a5a4-043340cef216"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""59ff46c5-b83b-4341-89fb-f43b2c03a319"", ""name"": ""Grey"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""4055f073-83e6-4e4f-92a1-76e877b9021e"", ""name"": ""Pink"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""1758dbe7-322c-4662-a629-48fa085bedda"", ""name"": ""Purple"", ""priceOffset"": 0.0, ""stock"": 5}]"
HP x2 detachable,"The HP x2 Detachable is a versatile 2-in-1 device that offers the flexibility of a laptop and the portability of a tablet. Perfect for students and casual users in Kenya, this detachable PC lets you switch between laptop, tablet, stand, and tent modes. Its 10.1-inch touchscreen and lightweight design make it ideal for browsing, streaming, note-taking, and light productivity.

Powered by an Intel Atom processor and featuring Windows 10, it's a great entry-level device for staying connected and productive on the move in Kenya. Its long battery life ensures you can work and play throughout the day.",Hp,28000.0,33500,15,Hp,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/hp x2.jfif,"{""Processor"": ""Intel Atom x5-Z8350"", ""RAM"": ""4GB DDR3L"", ""Storage"": ""64GB eMMC or 128GB SSD"", ""Display"": ""10.1-inch IPS Touchscreen (1280 x 800)"", ""Weight"": ""Tablet approx. 0.58 kg, with keyboard approx. 1.09 kg"", ""Features"": ""Touchscreen, 2-in-1 design""}","[{""id"": ""84add592-c6bf-4aa8-880c-28c51e058f90"", ""name"": ""8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
HP 745 G6 ryzen7,"Experience superior performance with the HP 745 G6 Ryzen7, a powerful business laptop now available in Kenya. Powered by the AMD Ryzen 7 Pro 3700U processor and 16GB RAM, it handles intensive multitasking, demanding applications, and data processing with ease, making it perfect for professionals and students . Featuring an AMD Radeon RX Vega 10 graphics card and a 256GB SSD, this laptop offers fast boot-up and responsive performance .

The HP 745 G6 comes with a 14-inch Full HD anti-glare display, ideal for working long hours . It's built with a spill-resistant keyboard, a fingerprint reader for enhanced security, and has a durable yet portable design for life on the move in Nairobi, Mombasa, or Kisumu .",Hp,32500.0,39000,15,Hp,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/HP 745 G6 ryzen7.jfif,"{""Processor"": ""AMD Ryzen 7 Pro 3700U"", ""Graphics"": ""AMD Radeon RX Vega 10"", ""RAM"": ""16GB DDR4"", ""Storage"": ""256GB SSD"", ""Display"": ""14-inch FHD (1920 x 1080) IPS"", ""Security"": ""Fingerprint Reader""}","[{""id"": ""f8b205da-ea9d-4412-9179-9c4e531b0d9c"", ""name"": ""8/266"", ""priceOffset"": 0.0, ""stock"": 5}]"
T460,"Upgrade your workflow with the T460, a high-performance device expertly designed for the Kenyan market. Whether you are a business professional in Nairobi, a student in Mombasa, or managing an office in Kisumu, this Lenovo unit delivers reliable, uncompromised performance to tackle your daily tasks.

Featuring robust build quality and advanced security protocols, the T460 is an exceptional long-term investment. Experience fast connectivity, brilliant display output, and seamless multitasking that empowers you to work smarter, not harder.",Generic,24000.0,29000,15,Generic,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/T460s i5 6th gen 8ram 256ssd.jfif,"{""Brand"": ""Lenovo"", ""Condition"": ""Refurbished / Ex-UK (Unless stated new)"", ""Warranty"": ""6 Months Limited Warranty"", ""Target"": ""Professionals & Students in Kenya"", ""Processor"": ""Intel Core i5 / i7 (depending on configuration)"", ""RAM"": ""8GB / 16GB"", ""Storage"": ""256GB / 512GB SSD""}","[{""id"": ""1f964129-7b4c-42cb-bb83-7d481d76fe39"", ""name"": ""i5 8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
T470,"Upgrade your workflow with the T470, a high-performance device expertly designed for the Kenyan market. Whether you are a business professional in Nairobi, a student in Mombasa, or managing an office in Kisumu, this Lenovo unit delivers reliable, uncompromised performance to tackle your daily tasks.

Featuring robust build quality and advanced security protocols, the T470 is an exceptional long-term investment. Experience fast connectivity, brilliant display output, and seamless multitasking that empowers you to work smarter, not harder.",Generic,26000.0,31000,15,Generic,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/T470s i5 8ram 256ssd.jfif,"{""Brand"": ""Lenovo"", ""Condition"": ""Refurbished / Ex-UK (Unless stated new)"", ""Warranty"": ""6 Months Limited Warranty"", ""Target"": ""Professionals & Students in Kenya"", ""Processor"": ""Intel Core i5 / i7 (depending on configuration)"", ""RAM"": ""8GB / 16GB"", ""Storage"": ""256GB / 512GB SSD""}","[{""id"": ""b052a9f1-f0e8-470b-a393-63ff46377621"", ""name"": ""i7 8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
X240,"Upgrade your workflow with the X240, a high-performance device expertly designed for the Kenyan market. Whether you are a business professional in Nairobi, a student in Mombasa, or managing an office in Kisumu, this Lenovo unit delivers reliable, uncompromised performance to tackle your daily tasks.

Featuring robust build quality and advanced security protocols, the X240 is an exceptional long-term investment. Experience fast connectivity, brilliant display output, and seamless multitasking that empowers you to work smarter, not harder.",Generic,19500.0,23500,15,Generic,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/hp x2.jfif,"{""Brand"": ""Lenovo"", ""Condition"": ""Refurbished / Ex-UK (Unless stated new)"", ""Warranty"": ""6 Months Limited Warranty"", ""Target"": ""Professionals & Students in Kenya"", ""Processor"": ""Intel Core i5 / i7 (depending on configuration)"", ""RAM"": ""8GB / 16GB"", ""Storage"": ""256GB / 512GB SSD""}","[{""id"": ""850e82c6-e0fd-4b51-bc75-03aa862660b2"", ""name"": ""i5 8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
X250,"Upgrade your workflow with the X250, a high-performance device expertly designed for the Kenyan market. Whether you are a business professional in Nairobi, a student in Mombasa, or managing an office in Kisumu, this Lenovo unit delivers reliable, uncompromised performance to tackle your daily tasks.

Featuring robust build quality and advanced security protocols, the X250 is an exceptional long-term investment. Experience fast connectivity, brilliant display output, and seamless multitasking that empowers you to work smarter, not harder.",Generic,20000.0,24000,15,Generic,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/hp x2.jfif,"{""Brand"": ""Lenovo"", ""Condition"": ""Refurbished / Ex-UK (Unless stated new)"", ""Warranty"": ""6 Months Limited Warranty"", ""Target"": ""Professionals & Students in Kenya"", ""Processor"": ""Intel Core i5 / i7 (depending on configuration)"", ""RAM"": ""8GB / 16GB"", ""Storage"": ""256GB / 512GB SSD""}","[{""id"": ""33f229f6-e210-4b94-805b-1a2df630dc0a"", ""name"": ""i5 7/256"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""43951acc-7804-402e-bd4b-6bf928765823"", ""name"": ""i7 8/256"", ""priceOffset"": 4000.0, ""stock"": 5}]"
