name,description,brand,price,compareAtPrice,stock,categoryName,imageUrls,specs,variants
"14"" Laptop Sleeve – Leather","Protect your laptop with this 14-inch leather laptop sleeve. This laptop sleeve offers reliable protection against scratches, dust, and minor shocks. It is lightweight, slim, and easy to carry on its own or inside a backpack. The soft inner lining helps keep your laptop safe while the smooth zip closure allows quick access. Ideal for students, professionals, and anyone looking for a simple protective laptop case.

Keywords: laptop sleeve in Kenya, padded laptop sleeve, slim laptop sleeve, waterproof laptop sleeve, 13 inch laptop sleeve, 14 inch laptop sleeve, 15.6 inch laptop sleeve.",Generic,2000.0,2500,15,Bags,"data/Black pu leather sleeve@2500.jpeg,data/Grey pu leather sleeve bag@2500.jpeg,data/Green sleeve bag leather@2k.jpeg,data/Grey sleeve bag leather@2500.jpeg,data/Blue sleeve leather @2000.jpeg,data/Bage sleeve bag leather@2500.jpeg,data/Brown sleeve leather @2500.jpeg","{""Material"": ""Leather"", ""Color"": ""Black"", ""Size"": ""14\""""}","[{""id"": ""b9bf9bd0-52ad-476e-8d03-e214df6cd3e2"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""00864b84-e695-491c-8fa8-ece4c869712d"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""8abcb4f3-d779-4daf-bae8-544b0f704b84"", ""name"": ""Blue"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""933c2323-9bf4-4b98-bc61-5c41db8aa2b9"", ""name"": ""Brown"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""b2932ac1-4f6b-458d-96b4-6fa6f6e66bcb"", ""name"": ""Green"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""6cdd40b1-b5df-40de-82d6-1d438f3802bc"", ""name"": ""Grey"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""6ded043c-fe3f-4d7c-a44b-a62284169f29"", ""name"": ""Grey"", ""priceOffset"": 500.0, ""stock"": 5}]"
"15.6"" Laptop Bag – Anti-theft","Protect your laptop with this durable 15.6-inch anti-theft laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Generic,4000.0,5000,15,Bags,"data/Reflector biowang antitheft@4k.jpeg,data/Wiersoon antitheft backpack @4500.jpeg,data/Blue biowang antitheft@4k.jpeg,data/Black biowang antitheft @4000.jpeg,data/Brown biowang antitheft@4000.jpeg","{""Material"": ""Anti-theft"", ""Color"": ""Black"", ""Size"": ""15.6\""""}","[{""id"": ""795cff53-b45a-4837-99db-3462ae2c4799"", ""name"": ""Black"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""1b75ec82-a265-473f-a4ee-430e2cf0f478"", ""name"": ""Blue"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""c9fb31dd-7423-4587-937e-b5786f2abb0d"", ""name"": ""Brown"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""b8e6cfbf-6da7-414f-93e6-5ba466d75ba4"", ""name"": ""Black"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""5eb748f1-f277-4b03-a333-4e31f71b172a"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}]"
"15.6"" Laptop Bag – Waterproof, Padded","Protect your laptop with this durable 15.6-inch waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Generic,2000.0,2500,15,Bags,"data/Black nuoxiya 2 way side@4k.jpeg,data/Lines laptop backpack @2k.jpeg,data/Black haoyu backpack@3500.jpeg,data/Huan lv backpack@3500.jpeg,data/Ponasso side bag black@3500.jpeg,data/Black business king@3000.jpeg,data/Brown business king@3k.jpeg,data/Blue nuoxiya 2 way side@4500.jpeg,data/Jungle green business king@3k.jpeg,data/Black nuoxiya 3 way medium @4k.jpeg,data/Brown jeep side bag @4500.jpeg,data/Blue haoyu laptop backpack@3500.jpeg,data/Dark brown jeep side bag @4500.jpeg,data/Grey haoyu laptop bag@3500.jpeg,data/U green backpack@4k.jpeg,data/Black nuoxiya 3 way backpack @5k.jpeg","{""Material"": ""Waterproof, Padded"", ""Color"": ""Black"", ""Size"": ""15.6\""""}","[{""id"": ""c0a82c90-6cf3-459f-b540-aaacfb91ec65"", ""name"": ""Black"", ""priceOffset"": 1000.0, ""stock"": 5}, {""id"": ""2c499953-bc87-4038-ac75-dfd07d677cde"", ""name"": ""Black"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""f103375e-e87b-4dab-97d5-08a9e3f63f51"", ""name"": ""Black"", ""priceOffset"": 2000.0, ""stock"": 5}, {""id"": ""34fb80b6-c55b-4e61-ace7-4c1f44ce7775"", ""name"": ""Black"", ""priceOffset"": 3000.0, ""stock"": 5}, {""id"": ""8d7169d1-2946-4094-9673-14996d0179cc"", ""name"": ""Black"", ""priceOffset"": 2000.0, ""stock"": 5}, {""id"": ""44d90192-e870-4f47-8eca-f248cfef5e7f"", ""name"": ""Blue"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""9753d485-2b68-4d54-8f03-6246ce25cc9a"", ""name"": ""Blue"", ""priceOffset"": 2500.0, ""stock"": 5}, {""id"": ""176c8215-1a70-46af-8465-7d1a3364d2c3"", ""name"": ""Brown"", ""priceOffset"": 1000.0, ""stock"": 5}, {""id"": ""436c2f10-2b8c-435b-8eee-532f14ae0cbc"", ""name"": ""Brown"", ""priceOffset"": 2500.0, ""stock"": 5}, {""id"": ""70163b16-cb13-4eca-b40e-57bffe6991bf"", ""name"": ""Brown"", ""priceOffset"": 2500.0, ""stock"": 5}, {""id"": ""6fdba955-aa10-4277-b0d1-5b7c27137a64"", ""name"": ""Grey"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""bc4a0160-4790-4036-a73b-678668103631"", ""name"": ""Black"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""2254c12e-05f6-4c25-bf7e-84b5b2ea007e"", ""name"": ""Green"", ""priceOffset"": 1000.0, ""stock"": 5}, {""id"": ""ec14c2b6-418b-401b-b0b2-b3d44819bc48"", ""name"": ""Black"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""b475331b-95bd-4a75-86e7-47d32e6f9f54"", ""name"": ""Black"", ""priceOffset"": 1500.0, ""stock"": 5}, {""id"": ""d3a7e1fb-baa5-48fb-989b-d39f5166cc1a"", ""name"": ""Green"", ""priceOffset"": 2000.0, ""stock"": 5}]"
"14"" Laptop Sleeve – Padded, Protective","Protect your laptop with this 14-inch padded, protective laptop sleeve. This laptop sleeve offers reliable protection against scratches, dust, and minor shocks. It is lightweight, slim, and easy to carry on its own or inside a backpack. The soft inner lining helps keep your laptop safe while the smooth zip closure allows quick access. Ideal for students, professionals, and anyone looking for a simple protective laptop case.

Keywords: laptop sleeve in Kenya, padded laptop sleeve, slim laptop sleeve, waterproof laptop sleeve, 13 inch laptop sleeve, 14 inch laptop sleeve, 15.6 inch laptop sleeve.",Generic,1500.0,2000,15,Bags,"data/Pink sleeve bag@1500.jpeg,data/Purple sleeve bag@1500.jpeg,data/Grey sleeve bag with handles@2000.jpeg,data/Black sleeve bag with handles@2000.jpeg","{""Material"": ""Padded, Protective"", ""Color"": ""Black"", ""Size"": ""14\""""}","[{""id"": ""2c6bed8d-2189-4b93-b8d0-73a1b8efb34a"", ""name"": ""Black"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""90dfe1c4-e092-48f8-918e-24cb4ff195e4"", ""name"": ""Grey"", ""priceOffset"": 500.0, ""stock"": 5}, {""id"": ""6d3fbc9a-b49a-42a5-afd2-f263b486f31e"", ""name"": ""Pink"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""740ba2a2-68d0-4c60-a5c6-5d66beb0ee73"", ""name"": ""Purple"", ""priceOffset"": 0.0, ""stock"": 5}]"
HP x2 detachable,HP x2 detachable 8/256,Hp,28000.0,33500,15,Laptops,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/hp x2.jfif,"{""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""d0b22b9e-8905-4f69-a32a-031f45d676fe"", ""name"": ""8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
HP 745 G6 ryzen7,HP 745 G6 ryzen7 8/266,Hp,32500.0,39000,15,Laptops,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/HP 745 G6 ryzen7.jfif,"{""Processor"": ""AMD Ryzen7"", ""RAM"": ""8GB"", ""Storage"": ""266GB""}","[{""id"": ""58f340df-9b2c-41c1-ab06-dcb1d4f69e1b"", ""name"": ""8/266"", ""priceOffset"": 0.0, ""stock"": 5}]"
T460,T460 i5 8/256,Generic,24000.0,29000,15,Laptops,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/T460s i5 6th gen 8ram 256ssd.jfif,"{""Processor"": ""Intel Core i5"", ""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""f00b4eac-5e4e-4c74-b1b1-ca21bffbd066"", ""name"": ""i5 8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
T470,T470 i7 8/256,Generic,26000.0,31000,15,Laptops,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/T470s i5 8ram 256ssd.jfif,"{""Processor"": ""Intel Core i7"", ""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""7522144a-d4dc-41b9-bdf5-f82dbc64a2da"", ""name"": ""i7 8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
X240,X240 i5 8/256,Generic,19500.0,23500,15,Laptops,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/hp x2.jfif,"{""Processor"": ""Intel Core i5"", ""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""34c384ad-5571-4f8e-87b9-0809096db4f8"", ""name"": ""i5 8/256"", ""priceOffset"": 0.0, ""stock"": 5}]"
X250,X250 i5 7/256,Generic,20000.0,24000,15,Laptops,data/NEX GEN LAPTOPS/NEX GEN LAPTOPS/hp x2.jfif,"{""Processor"": ""Intel Core i7"", ""RAM"": ""8GB"", ""Storage"": ""256GB""}","[{""id"": ""4420e7de-6ceb-4e10-88e5-c93f3c19a7c9"", ""name"": ""i5 7/256"", ""priceOffset"": 0.0, ""stock"": 5}, {""id"": ""573ee218-ecbc-46e2-95cf-7b958b710d39"", ""name"": ""i7 8/256"", ""priceOffset"": 4000.0, ""stock"": 5}]"
